구분,이용일,이용구분,가맹점,이용금액,총 할부금액,이용혜택,혜택금액,개월,회차,원금
생활비,20211210,버거킹 스태커3 세트,쿠팡,"11,100",,,,,,"11,100"
생활비,20211211,"천지향 - 백짬뽕, 볶음밥",위대한상상,"9,300",,,,,,"9,300"
생활비,20211211,요기패스,위대한상상,"4,900",,,,,,"4,900"
생활비,20211212,경수산 모듬회,쿠팡,"35,000",,,,,,"35,000"
,20211212,,CU(씨유)일산창호점,"7,100",,상생국민지원,"-7,100",,,
생활비,20211213,"탕수육 - 유니짜장, 백짬뽕밥",위대한상상,"9,500",,,,,,"9,500"
생활비,20211214,유가네 닭갈비,쿠팡,"29,500",,,,,,"29,500"
생활비,20211214,,(주)케이에프씨코리아,"13,400",,상생소비지원,-110,,,"13,290"
,20211215,,주식회사원마트,"13,220",,상생국민지원,"-13,220",,,
생활비,20211217,푸라닭 - 파불로,위대한상상,"16,900",,,,,,"16,900"
,20211217,,한솥도시락 일산시장점,"6,600",,상생국민지원,"-6,600",,,
생활비,20211218,"천지향 - 백짬뽕, 볶음밥",위대한상상,"11,300",,,,,,"11,300"
생활비,20211219,탄현수산 스페셜,위대한상상,"35,900",,,,,,"35,900"
생활비,20211220,"천지향 - 삼선울면, 고추잡채밥",위대한상상,"14,900",,,,,,"14,900"
,20211222,,주식회사원마트,"11,140",,상생국민지원,"-11,140",,,
생활비,20211224,,굽네치킨중산점,"2,000",,,,,,"2,000"
,20211225,,주식회사원마트,"23,150",,상생국민지원,"-23,150",,,
생활비,20211226,,GS25일산현대점,"3,900",,,,,,"3,900"
생활비,20211226,"천지향 - 백짬뽕, 군만두",위대한상상,"11,400",,,,,,"11,400"
,20211226,,진미정육점,"67,090",,상생국민지원,"-67,090",,,
통신,20211227,,SK통신료 11월 - 948199,"28,490",,청구할인,-60,,,"28,430"
,20211227,,문자도우미 12월이용료,300,,포인트사용,-300,,,
생활비,20211228,"중산짬뽕 - 쟁반짜장, 짬뽕",(주)우아한형제들,"14,000",,,,,,"14,000"
용돈,20211229,,코리아세븐M잠실나루역점,"4,500",,,,,,"4,500"
생활비,20211231,,(주)이마트에브리데이 일산2호점,"11,680",,,,,,"11,680"
생활비,20211231,,복지포탈,"38,300",,포인트사용,"-34,127",,,"4,173"
생활비,20211231,후참잘 - 반반치킨,위대한상상,"15,500",,,,,,"15,500"
생활비,20220101,"양귀비 - 백짬뽕, 군만두",위대한상상,"15,500",,,,,,"15,500"
생활비,20220101,구미향 - 족발,위대한상상,"33,150",,,,,,"33,150"
생활비,20220102,"왕서방 - 백짬뽕, 군만두",위대한상상,"15,000",,,,,,"15,000"
생활비,20220102,만리장성 - 탕수육+팔보채,쿠팡,"38,000",,,,,,"38,000"
용돈,20220103,,코리아세븐M잠실나루역점,"4,500",,,,,,"4,500"
용돈,20220104,,코리아세븐M잠실나루역점,"4,500",,,,,,"4,500"
생활비,20220105,왕서방 - 탕수육 짜장 짬뽕,위대한상상,"20,000",,,,,,"20,000"
생활비,20220106,봄봄매트,네이버페이 네이버,"2,388,000",,,,,,"2,388,000"
생활비,20220106,"메가커피 - 오레오초코라떼, 빵",주식회사 발트페이먼츠,"5,700",,,,,,"5,700"
생활비,20220106,메가커피 - 매트 기사,주식회사 발트페이먼츠,"7,500",,,,,,"7,500"
생활비,20220107,페리카나 - 반반,위대한상상,"17,000",,,,,,"17,000"
용돈,20220107,,코리아세븐M잠실나루역점,"4,500",,,,,,"4,500"
생활비,20220108,"국빈 - 고추잡채밥, 짬뽕",(주)우아한형제들,"18,000",,,,,,"18,000"
생활비,20220108,,주식회사원마트,"16,270",,,,,,"16,270"
교통,20220109,,교통-지하철 0031건 (20211210~20220107),"54,900",,청구할인,"-5,490",,,"49,410"
교통,20220109,,교통-버스 0001건 (20211221~20211221),"3,100",,청구할인,-310,,,"2,790"
,,,일시불합계,,,,,,,"2,926,993"
